Biotop;percentage;nPatches;
bio_565274973;99;192;
bio_565340005;38;26;
bio_565325002;94;214;
bio_565492956;60;38;
bio_564010065;95;49;
bio_563020024;55;77;
bio_565492951;86;43;
bio_565030168;76;98;
bio_565016033;88;109;
bio_564010261;75;129;
bio_565325033;93;16;
bio_565272084;93;118;
bio_564130189;38;50;
bio_565511395;91;395;
bio_565430197;80;25;
bio_564010259;89;39;
bio_564090162;61;44;
bio_565275034;100;40;
bio_565350033;79;29;
bio_564040314;53;164;
bio_564080109;68;69;
bio_564110172;47;19;
bio_563010078;56;157;
bio_564080107;57;71;
bio_565374051;91;374;
bio_565271238;96;92;
bio_564100117;83;74;
bio_565501506;100;50;
bio_565374056;92;150;
bio_564080100;52;59;
bio_565030104;93;103;
bio_565314944;76;38;
bio_565180193;100;19;
bio_565274963;94;38;
bio_564090117;44;25;
bio_565410121;100;6;
bio_565030147;75;44;
bio_565430189;89;48;
bio_565070035;100;7;
bio_565013103;64;17;
bio_565410117;78;41;
bio_565290582;78;65;
bio_565492948;95;20;
bio_565016023;95;42;
bio_565274955;100;47;
bio_565160122;60;25;
bio_565491968;68;261;
bio_563180022;47;57;
bio_565030125;94;51;
bio_564040131;41;24;
bio_563010061;93;186;
bio_565511587;94;99;
bio_565272206;80;46;
bio_564130139;50;20;
bio_565015066;84;132;
bio_564040107;40;81;
bio_564030042;77;27;
bio_564100107;66;165;
bio_565511922;96;27;
bio_565275015;100;19;
bio_565271025;94;19;
bio_565410175;60;33;
bio_563010068;34;156;
bio_565511925;96;29;
bio_564100100;79;153;
bio_565015061;94;75;
bio_563130141;63;105;
bio_565430111;81;11;
bio_564080110;62;69;
bio_565374046;91;97;
bio_565275012;98;104;
bio_565030177;95;42;
bio_564040163;44;109;
bio_565390254;62;72;
bio_565274954;97;105;
bio_564010089;90;137;
bio_565180157;97;38;
bio_565011451;100;18;
bio_565492949;89;48;
bio_565030184;86;46;
bio_565503028;96;115;
bio_565180168;90;82;
bio_565011697;93;529;
bio_565040035;44;54;
bio_565180161;100;19;
bio_565030179;93;16;
bio_565274965;98;71;
bio_564130165;75;20;
bio_565030146;87;58;
bio_563030095;86;46;
bio_565274991;92;25;
bio_565450055;68;22;
bio_565492947;80;57;
bio_565274962;100;80;
bio_563130140;56;75;
bio_564150215;96;75;
bio_565374047;85;136;
bio_565271211;93;75;
bio_564110152;13;22;
bio_564040106;34;63;
bio_564100106;95;21;
bio_565390003;84;25;
bio_564080116;25;40;
bio_565503075;97;105;
bio_565070056;75;52;
bio_565501519;91;249;
bio_565324998;98;66;
bio_565271220;98;131;
bio_563180024;35;88;
bio_565275022;98;52;
bio_563150093;95;100;
bio_565491565;70;330;
bio_563010067;57;99;
bio_565450037;75;45;
bio_563180023;37;183;
bio_565340104;64;31;
bio_564020154;91;109;
bio_564110223;18;53;
bio_563170176;93;33;
bio_565501498;97;39;
bio_565390140;84;33;
bio_564040277;21;70;
bio_565282997;85;117;
bio_564080099;27;40;
bio_563170171;81;77;
bio_564070075;100;9;
bio_565290451;45;165;
bio_564130247;76;13;
bio_564040279;46;78;
bio_565242945;84;128;
bio_565290231;87;33;
bio_565511431;76;218;
bio_564080097;39;76;
bio_563080227;60;58;
bio_564020162;87;79;
bio_565282999;93;49;
bio_565242942;81;266;
bio_564060222;69;23;
bio_565180219;91;78;
bio_565160058;48;37;
bio_565505065;100;28;
bio_564060249;55;89;
bio_565505091;94;19;
bio_563070059;36;87;
bio_564110080;51;35;
bio_565283024;96;56;
bio_563080274;87;221;
bio_565410052;61;62;
bio_564060247;31;16;
bio_565070184;95;22;
bio_563070057;39;73;
bio_565070170;88;35;
bio_565283012;93;227;
bio_565180217;74;120;
bio_565290608;57;84;
bio_565283015;90;577;
bio_565290630;57;33;
bio_565380140;70;24;
bio_565290059;34;81;
bio_565271301;86;115;
bio_565015987;88;26;
bio_565300210;91;12;
bio_563080226;71;97;
bio_564160197;48;31;
bio_565290461;48;31;
bio_565242943;85;48;
bio_564020163;77;72;
bio_565501497;98;82;
bio_564010198;89;107;
bio_564020164;79;87;
bio_565272973;100;43;
bio_565290492;65;72;
bio_565282996;81;174;
bio_565271195;98;188;
bio_564070074;60;28;
bio_565290450;41;53;
bio_564080098;56;51;
bio_565560001;86;23;
bio_565282159;64;431;
bio_563200022;96;101;
bio_564020155;92;89;
bio_563070051;45;55;
bio_565521465;100;21;
bio_565505052;95;49;
bio_565324084;96;100;
bio_565180216;90;264;
bio_565015975;100;32;
bio_564140153;31;64;
bio_565015988;88;59;
bio_565321168;93;47;
bio_563070060;46;83;
bio_565340194;73;19;
bio_565271103;96;52;
bio_565180220;45;141;
bio_564120045;74;43;
bio_565241568;75;162;
bio_565013082;82;50;
bio_563040050;39;23;
bio_565290435;37;45;
bio_565505064;98;56;
bio_563080250;80;52;
bio_565015966;100;28;
bio_564140149;38;31;
bio_564140182;50;32;
bio_565040199;66;77;
bio_565430012;94;51;
bio_565180202;96;139;
bio_564110057;37;24;
bio_565283007;81;125;
bio_565340180;83;18;
bio_565505077;61;31;
bio_564140178;59;89;
bio_565180234;99;171;
bio_563030106;83;43;
bio_563040043;32;483;
bio_564070005;67;58;
bio_563040044;22;121;
bio_565290011;54;61;
bio_563170155;76;55;
bio_564080049;63;41;
bio_565272351;93;48;
bio_564020170;75;64;
bio_564040095;54;61;
bio_565160021;83;55;
bio_563080235;95;21;
bio_563170164;90;43;
bio_563110081;69;39;
bio_564130252;36;25;
bio_564040265;38;89;
bio_564020179;81;11;
bio_563200031;82;88;
bio_565350142;69;26;
bio_563110072;90;20;
bio_563170163;93;29;
bio_565511412;89;316;
bio_564130209;41;31;
bio_565272304;82;138;
bio_564070004;82;34;
bio_565290044;57;21;
bio_564160310;74;90;
bio_565070155;100;7;
bio_564020122;91;23;
bio_564140141;63;225;
bio_563040045;27;59;
bio_565040196;59;109;
bio_564040201;58;43;
bio_565272935;96;60;
bio_565015956;78;46;
bio_563080260;98;63;
bio_565375054;92;26;
bio_564140179;45;22;
bio_564150320;67;59;
bio_565290043;85;7;
bio_565374978;85;74;
bio_563080256;24;53;
bio_564140184;28;7;
bio_563100080;56;99;
bio_565283006;60;10;
bio_564130207;12;8;
bio_565274031;95;80;
bio_563080251;61;144;
bio_564140177;53;13;
bio_565410048;56;101;
bio_565070163;100;31;
bio_564140183;50;8;
bio_565013001;96;116;
bio_563120044;82;251;
bio_564040290;45;72;
bio_564020171;83;6;
bio_565180053;87;108;
bio_564040299;53;15;
bio_564080070;96;50;
bio_565272196;93;49;
bio_563080233;84;75;
bio_564040318;57;78;
bio_564080105;46;30;
bio_565491547;72;276;
bio_564040327;42;56;
bio_565492938;95;268;
bio_564080102;55;125;
bio_565271202;100;26;
bio_565275000;85;27;
bio_565350038;76;25;
bio_564030057;77;27;
bio_565272028;92;145;
bio_565325062;67;191;
bio_563010080;88;52;
bio_565131960;95;84;
bio_565325065;89;47;
bio_565350009;60;23;
bio_563130136;71;53;
bio_564130140;63;68;
bio_565340204;67;65;
bio_565325031;92;79;
bio_565030190;92;79;
bio_565300188;80;5;
bio_564130178;68;16;
bio_565340203;85;62;
bio_565430195;93;16;
bio_565360090;95;21;
bio_565492954;93;294;
bio_565380028;88;101;
bio_563130138;56;44;
bio_565180175;95;21;
bio_565274982;100;5;
bio_564010067;82;176;
bio_565040010;45;31;
bio_565290552;61;71;
bio_564050115;47;17;
bio_565271097;87;116;
bio_565503032;100;18;
bio_565492953;78;51;
bio_565325064;78;69;
bio_564030058;58;24;
bio_565350008;69;36;
bio_565325063;80;76;
bio_565275008;93;15;
bio_564040317;62;135;
bio_564110171;65;20;
bio_563010088;32;53;
bio_565220031;81;32;
bio_564080103;27;40;
bio_565271203;94;39;
bio_565040089;59;42;
bio_564040321;79;58;
bio_565015072;94;71;
bio_564080104;49;189;
bio_564040319;53;52;
bio_565131957;100;20;
bio_571080921;100;15;
bio_565290553;26;26;
bio_565016006;97;36;
bio_564160263;46;45;
bio_564010066;77;68;
bio_565030154;91;183;
bio_564130148;72;22;
bio_564090104;60;38;
bio_564160290;87;39;
bio_565390270;85;41;
bio_564130170;61;70;
bio_565040029;48;76;
bio_565180174;100;45;
bio_563130139;59;37;
bio_565030198;90;81;
bio_565492955;84;174;
bio_565430156;91;35;
bio_564010057;86;51;
bio_565011682;89;46;
bio_565271098;95;61;
bio_565030191;92;28;
bio_564130146;62;29;
bio_565340202;75;28;
bio_563130137;88;26;
bio_564010262;93;74;
bio_565275064;96;27;
