Biotop;percentage;nPatches;
bio_565030146;80;46;
bio_563030095;81;37;
bio_565274991;100;15;
bio_565450055;86;15;
bio_565492947;84;33;
bio_565274962;96;50;
bio_563130140;51;66;
bio_564150215;94;53;
bio_565374047;82;100;
bio_565271211;91;57;
bio_564110152;21;19;
bio_564040106;53;45;
bio_564100106;76;17;
bio_565390003;64;17;
bio_564080116;29;24;
bio_565503075;98;75;
bio_565070056;62;40;
bio_565501519;92;157;
bio_565324998;90;42;
bio_565271220;97;91;
bio_563180024;47;55;
bio_565275022;100;36;
bio_563150093;89;66;
bio_565491565;71;238;
bio_563010067;77;67;
bio_565450037;75;36;
bio_563180023;61;112;
bio_565340104;78;19;
bio_564020154;88;84;
bio_564110223;33;36;
bio_563170176;81;22;
bio_565501498;100;27;
bio_565390140;95;22;
bio_564040277;34;50;
bio_565282997;90;81;
bio_564080099;31;29;
bio_563170171;92;52;
bio_564070075;71;7;
bio_565290451;54;93;
bio_564130247;50;10;
bio_564040279;48;58;
bio_565242945;77;95;
bio_565290231;88;26;
bio_565511431;78;143;
bio_564080097;52;53;
bio_563080227;71;49;
bio_564020162;72;65;
bio_565282999;82;35;
bio_565242942;82;175;
bio_564060222;77;18;
bio_565180219;92;53;
bio_565160058;75;28;
bio_565505065;100;25;
bio_564060249;63;71;
bio_565505091;90;10;
bio_563070059;44;61;
bio_564110080;56;25;
bio_565283024;92;38;
bio_563080274;90;163;
bio_565410052;82;40;
bio_564060247;22;9;
bio_565070184;86;15;
bio_563070057;39;53;
bio_565070170;100;25;
bio_565283012;95;158;
bio_565180217;64;85;
bio_565290608;76;65;
bio_565283015;86;385;
bio_565290630;62;29;
bio_565380140;88;18;
bio_565290059;39;53;
bio_565271301;76;93;
bio_565015987;84;19;
bio_565300210;77;9;
bio_563080226;84;73;
bio_564160197;50;24;
bio_565290461;58;24;
bio_565242943;84;32;
bio_564020163;80;56;
bio_565501497;98;53;
bio_564010198;85;80;
bio_564020164;58;63;
bio_565272973;96;33;
bio_565290492;73;45;
bio_565282996;80;115;
bio_565271195;96;127;
bio_564070074;57;19;
bio_565290450;54;33;
bio_564080098;45;37;
bio_565560001;93;16;
bio_565282159;65;275;
bio_563200022;87;70;
bio_564020155;94;69;
bio_563070051;58;39;
bio_565521465;94;18;
bio_565505052;97;35;
bio_565324084;93;64;
bio_565180216;92;178;
bio_565015975;96;25;
bio_564140153;40;50;
bio_565015988;82;41;
bio_565321168;85;34;
bio_563070060;55;59;
bio_565340194;76;13;
bio_565271103;97;41;
bio_565180220;47;97;
bio_564120045;86;30;
bio_565241568;71;110;
bio_565013082;86;30;
bio_563040050;43;16;
bio_565290435;35;31;
bio_565505064;100;37;
bio_563080250;79;39;
bio_565015966;100;17;
bio_564140149;41;24;
bio_564140182;43;23;
bio_565040199;64;53;
bio_565430012;83;37;
bio_565180202;100;101;
bio_564110057;57;19;
bio_565283007;85;91;
bio_565340180;92;13;
bio_565505077;77;22;
bio_564140178;52;74;
bio_565180234;96;115;
bio_563030106;90;33;
bio_563040043;41;344;
bio_564070005;64;34;
bio_563040044;36;76;
bio_565290011;58;51;
bio_563170155;78;47;
bio_564080049;80;30;
bio_565272351;90;33;
bio_564020170;80;46;
bio_564040095;61;49;
bio_565160021;90;40;
bio_563080235;88;17;
bio_563170164;80;31;
bio_563110081;65;26;
bio_564130252;47;19;
bio_564040265;41;60;
bio_564020179;87;8;
bio_563200031;83;56;
bio_565350142;73;19;
bio_563110072;80;15;
bio_563170163;75;20;
bio_565511412;81;207;
bio_564130209;73;19;
bio_565272304;88;98;
bio_564070004;89;28;
bio_565290044;61;13;
bio_564160310;81;65;
bio_565070155;100;5;
bio_564020122;100;21;
bio_564140141;70;168;
bio_563040045;35;42;
bio_565040196;73;76;
bio_564040201;72;33;
bio_565272935;94;38;
bio_565015956;70;31;
bio_563080260;93;48;
bio_565375054;70;20;
bio_564140179;64;14;
bio_564150320;69;49;
bio_565290043;50;4;
bio_565374978;73;53;
bio_563080256;43;44;
bio_564140184;50;6;
bio_563100080;56;72;
bio_565283006;50;4;
bio_564130207;57;7;
bio_565274031;94;53;
bio_563080251;72;106;
bio_564140177;75;8;
bio_565410048;72;61;
bio_565070163;90;20;
bio_564140183;50;6;
bio_565013001;87;73;
bio_563120044;91;173;
bio_564040290;56;53;
bio_564020171;60;5;
bio_565180053;79;72;
bio_564040299;33;12;
bio_564080070;88;45;
bio_565272196;97;37;
bio_563080233;82;62;
bio_564040318;67;56;
bio_564080105;52;21;
bio_565491547;66;204;
bio_564040327;50;40;
bio_565492938;97;173;
bio_564080102;67;78;
bio_565271202;100;24;
bio_565275000;75;16;
bio_565350038;82;17;
bio_564030057;76;21;
bio_565272028;87;98;
bio_565325062;61;139;
bio_563010080;89;38;
bio_565131960;91;59;
bio_565325065;75;37;
bio_565350009;57;19;
bio_563130136;82;40;
bio_564130140;75;62;
bio_565340204;89;46;
bio_565325031;84;53;
bio_565030190;85;56;
bio_565300188;100;2;
bio_564130178;37;16;
bio_565340203;82;50;
bio_565430195;80;15;
bio_565360090;89;19;
bio_565492954;98;187;
bio_565380028;89;68;
bio_563130138;56;32;
bio_565180175;85;14;
bio_565274982;100;4;
bio_564010067;81;111;
bio_565040010;63;22;
bio_565290552;72;51;
bio_564050115;46;15;
bio_565271097;86;82;
bio_565503032;100;17;
bio_565492953;79;34;
bio_565325064;80;46;
bio_564030058;61;18;
bio_565350008;65;32;
bio_565325063;78;51;
bio_565275008;100;13;
bio_564040317;65;96;
bio_564110171;62;16;
bio_563010088;37;37;
bio_565220031;80;21;
bio_564080103;46;30;
bio_565271203;92;28;
bio_565040089;78;28;
bio_564040321;69;42;
bio_565015072;90;53;
bio_564080104;50;131;
bio_564040319;53;41;
bio_565131957;92;14;
bio_571080921;100;9;
bio_565290553;42;19;
bio_565016006;100;27;
bio_564160263;57;35;
bio_564010066;79;48;
bio_565030154;93;129;
bio_564130148;77;18;
bio_564090104;75;28;
bio_564160290;84;26;
bio_565390270;87;31;
bio_564130170;71;64;
bio_565040029;55;52;
bio_565180174;100;42;
bio_563130139;73;30;
bio_565030198;88;60;
bio_565492955;80;120;
bio_565430156;91;24;
bio_564010057;87;32;
bio_565011682;93;32;
bio_565271098;97;39;
bio_565030191;76;26;
bio_564130146;66;24;
bio_565340202;70;24;
bio_563130137;85;21;
bio_564010262;91;58;
bio_565275064;83;18;
